1,337925.4921,-56376.8685,315.3015,
2,337926.1037,-56364.3986,315.3913,
3,337926.7190,-56351.9624,315.4913,
4,337927.3543,-56339.4493,315.5992,
5,337927.9824,-56327.0007,315.7251,
6,337928.6361,-56314.4877,315.8146,
7,337929.2709,-56301.9315,315.9056,
8,337929.9189,-56289.4521,315.9811,
9,337930.6090,-56276.9421,316.0519,
10,337931.2649,-56264.4667,316.1372,
11,337931.9169,-56251.9477,316.1984,
12,337932.5599,-56239.4725,316.2921,
13,337933.2124,-56226.9296,316.3720,
14,337933.8625,-56214.4794,316.4562,
15,337934.5082,-56201.9523,316.5441,
16,337935.1466,-56189.4081,316.6193,
17,337935.7920,-56177.0212,316.7050,
18,337936.4560,-56164.4737,316.7846,
19,337937.0828,-56151.9318,316.8696,
20,337937.7181,-56139.4968,316.9556,
21,337938.3746,-56126.9528,317.0426,
22,337939.0168,-56114.4464,317.1202,
23,337939.6578,-56101.8685,317.1910,
24,337940.3169,-56089.4183,317.2767,
25,337940.9759,-56076.9613,317.3577,
26,337941.6090,-56064.4794,317.4291,
27,337942.2513,-56051.8994,317.5121,
28,337942.8960,-56039.4465,317.5887,
29,337943.5437,-56027.0023,317.6625,
30,337944.1975,-56014.3999,317.7366,
31,337944.8545,-56001.9514,317.8091,
32,337945.5127,-55989.4427,317.8841,
33,337946.1518,-55977.0013,317.9561,
34,337946.8182,-55964.5257,318.0156,
35,337947.4841,-55951.9192,318.0745,
36,337948.1526,-55939.3948,318.1358,
37,337948.7887,-55926.8835,318.1909,
38,337949.4488,-55914.3165,318.2362,
39,337950.1326,-55901.8539,318.2871,
40,337950.7813,-55889.3128,318.3439,
41,337951.4542,-55876.8020,318.3720,
42,337952.0797,-55864.2607,318.4133,
43,337952.7581,-55851.7130,318.4485,
44,337953.4186,-55839.2531,318.4868,
45,337954.0806,-55826.7490,318.5096,
46,337954.7268,-55814.2854,318.5369,
47,337955.3943,-55801.7191,318.5619,
48,337956.0620,-55789.2471,318.5827,
49,337956.7295,-55776.7880,318.5872,
50,337957.3823,-55764.2811,318.5897,
51,337958.0335,-55751.8230,318.6102,
52,337958.6760,-55739.3020,318.6706,
53,337959.3364,-55726.7934,318.6805,
54,337959.9964,-55714.3682,318.6822,
55,337960.6430,-55701.8065,318.6645,
56,337961.3016,-55689.3490,318.6644,
57,337961.9355,-55676.8134,318.6868,
58,337962.5725,-55664.3498,318.7039,
59,337963.2351,-55651.7509,318.7138,
60,337963.8772,-55639.2018,318.7315,
61,337964.5206,-55626.8528,318.7454,
62,337965.2024,-55614.2311,318.7583,
63,337965.8658,-55601.7456,318.7640,
64,337966.5323,-55589.2735,318.7700,
65,337967.1918,-55576.7919,318.7843,
66,337967.8504,-55564.2558,318.7948,
67,337968.5431,-55551.7002,318.8026,
68,337969.1987,-55539.2749,318.8198,
69,337969.8643,-55526.7660,318.8401,
70,337970.5301,-55514.2367,318.8400,
71,337971.1784,-55501.7900,318.8499,
72,337971.8149,-55489.2661,318.8518,
73,337972.4688,-55476.7409,318.8660,
